Nth, string addition, bignum fast doubling 
528 ,932853,7018
529 ,934650,7070
530 ,939081,7013
531 ,938668,7021
532 ,940100,7021
533 ,941569,7093
534 ,945492,7064
535 ,945947,7093
536 ,947851,6966
537 ,948667,7090
538 ,950237,7100
539 ,954203,7066
540 ,953894,7135
541 ,955502,8503
542 ,957306,7199
543 ,961279,7208
544 ,960628,7112
545 ,962281,7088
546 ,963961,7129
547 ,967781,7077
548 ,967518,7164
549 ,969049,7187
550 ,970925,7186
551 ,975373,7253
552 ,974560,7235
553 ,976217,7253
554 ,977967,7426
555 ,981800,7633
556 ,981428,7521
557 ,983066,8906
558 ,984787,7730
559 ,988833,7518
560 ,988612,7776
561 ,990343,7528
562 ,992245,7673
563 ,997201,7582
564 ,995737,7681
565 ,997201,7590
566 ,998747,7889
567 ,1002985,7690
568 ,1002641,7648
569 ,1004523,7575
570 ,1006060,7658
571 ,1009878,7486
572 ,1009195,7482
573 ,1010990,9138
574 ,1012773,7626
575 ,1019450,7593
576 ,1016148,7632
577 ,1017927,7559
578 ,1019676,7612
579 ,1023664,7685
580 ,1023079,7512
581 ,1024937,7623
582 ,1026596,7640
583 ,1030888,7660
584 ,1030123,7576
585 ,1031910,7659
586 ,1033553,7699
587 ,1037434,7704
588 ,1037104,7665
589 ,1038837,9149
590 ,1042731,7647
591 ,1042807,7679
592 ,1044462,7650
593 ,1046327,7601
594 ,1050977,7624
595 ,1049441,7657
596 ,1050882,7629
597 ,1052599,7681
598 ,1056860,7701
599 ,1056133,7719
600 ,1057891,7701
601 ,1060190,7719
602 ,1064660,7700
603 ,1063184,7677
604 ,1064797,7676
605 ,1068831,9395
606 ,1068554,7714
607 ,1069977,7702
608 ,1071689,7666
609 ,1075496,7668
610 ,1075307,7737
611 ,1076906,7748
612 ,1078624,7695
613 ,1083143,7707
614 ,1082358,7756
615 ,1083734,7848
616 ,1087665,7734
617 ,1087625,7733
618 ,1089027,7754
619 ,1090958,7815
620 ,1095130,7770
621 ,1094284,9165
622 ,1096602,7843
623 ,1098306,7850
624 ,1101955,7839
625 ,1101310,7885
626 ,1103048,7844
627 ,1106956,7876
628 ,1106534,7787
629 ,1108262,7867
630 ,1109983,7823
631 ,1113992,7840
632 ,1114246,7771
633 ,1115809,7781
634 ,1119029,7843
635 ,1118776,7899
636 ,1120241,7873
637 ,1121985,9251
638 ,1125792,7911
639 ,1125585,7933
640 ,1127246,7900
641 ,1129044,7904
642 ,1132933,7953
643 ,1132380,8088
644 ,1134272,7986
645 ,1138314,7982
646 ,1137649,8031
647 ,1139563,8200
648 ,1141470,8097
649 ,1146565,8169
650 ,1144838,8236
651 ,1146428,8106
652 ,1150895,8179
653 ,1149950,9763
654 ,1151661,8213
655 ,1156054,8159
656 ,1155181,8089
657 ,1156738,8033
